commodity,kind,contract,month_label,ftd,ltd,fnd,lnd,fdd,ldd,fsd,refreshed_at
CT,futures,CTV26,Oct26,2023-11-01,2026-10-08,2026-09-24,2026-10-15,2026-10-01,2026-10-22,2026-10-15,2026-07-16
CT,futures,CTZ26,Dec26,2024-01-02,2026-12-08,2026-11-23,2026-12-15,2026-12-01,2026-12-22,2026-12-15,2026-07-16
CT,futures,CTH27,Mar27,2024-04-01,2027-03-08,2027-02-22,2027-03-15,2027-03-01,2027-03-22,2027-03-15,2026-07-16
CT,futures,CTK27,May27,2024-06-03,2027-05-06,2027-04-26,2027-05-13,2027-05-03,2027-05-20,2027-05-13,2026-07-16
CT,futures,CTN27,Jul27,2024-08-01,2027-07-08,2027-06-24,2027-07-15,2027-07-01,2027-07-22,2027-07-15,2026-07-16
CT,futures,CTV27,Oct27,2024-11-01,2027-10-07,2027-09-24,2027-10-14,2027-10-01,2027-10-21,2027-10-14,2026-07-16
CT,futures,CTZ27,Dec27,2025-01-02,2027-12-08,2027-11-23,2027-12-15,2027-12-01,2027-12-22,2027-12-15,2026-07-16
CT,futures,CTH28,Mar28,2025-04-01,2028-03-09,2028-02-23,2028-03-16,2028-03-01,2028-03-23,2028-03-16,2026-07-16
CT,futures,CTK28,May28,2025-06-02,2028-05-08,2028-04-24,2028-05-15,2028-05-01,2028-05-22,2028-05-15,2026-07-16
CT,futures,CTN28,Jul28,2025-08-01,2028-07-07,2028-06-26,2028-07-14,2028-07-03,2028-07-21,2028-07-14,2026-07-16
CT,futures,CTV28,Oct28,2025-11-03,2028-10-09,2028-09-25,2028-10-16,2028-10-02,2028-10-23,2028-10-16,2026-07-16
CT,futures,CTZ28,Dec28,2026-01-02,2028-12-06,2028-11-24,2028-12-13,2028-12-01,2028-12-20,2028-12-13,2026-07-16
CT,futures,CTH29,Mar29,2026-04-01,2029-03-07,2029-02-22,2029-03-14,2029-03-01,2029-03-21,2029-03-14,2026-07-16
CT,futures,CTK29,May29,2026-06-01,2029-05-08,2029-04-24,2029-05-15,2029-05-01,2029-05-22,2029-05-15,2026-07-16
CT,options,CTU26,Sep26,2024-01-03,2026-08-21,,,,,,2026-07-16
CT,options,CTV26,Oct26,2023-11-02,2026-09-11,,,,,,2026-07-16
CT,options,CTX26,Nov26,2024-01-03,2026-10-16,,,,,,2026-07-16
CT,options,CTZ26,Dec26,2024-01-03,2026-11-13,,,,,,2026-07-16
CT,options,CTF27,Jan27,2024-04-02,2026-12-18,,,,,,2026-07-16
CT,options,CTH27,Mar27,2024-04-02,2027-02-05,,,,,,2026-07-16
CT,options,CTK27,May27,2024-06-04,2027-04-16,,,,,,2026-07-16
CT,options,CTN27,Jul27,2024-08-02,2027-06-11,,,,,,2026-07-16
CT,options,CTU27,Sep27,2025-01-03,2027-08-20,,,,,,2026-07-16
CT,options,CTV27,Oct27,2024-11-04,2027-09-10,,,,,,2026-07-16
CT,options,CTX27,Nov27,2025-01-03,2027-10-15,,,,,,2026-07-16
CT,options,CTZ27,Dec27,2025-01-03,2027-11-12,,,,,,2026-07-16
CT,options,CTF28,Jan28,2025-04-02,2027-12-17,,,,,,2026-07-16
CT,options,CTH28,Mar28,2025-04-02,2028-02-11,,,,,,2026-07-16
CT,options,CTK28,May28,2025-06-03,2028-04-13,,,,,,2026-07-16
CT,options,CTN28,Jul28,2025-08-04,2028-06-09,,,,,,2026-07-16
CT,options,CTU28,Sep28,2026-01-05,2028-08-18,,,,,,2026-07-16
CT,options,CTV28,Oct28,2025-11-04,2028-09-15,,,,,,2026-07-16
CT,options,CTX28,Nov28,2026-01-05,2028-10-20,,,,,,2026-07-16
CT,options,CTZ28,Dec28,2026-01-05,2028-11-10,,,,,,2026-07-16
CT,options,CTF29,Jan29,2026-04-02,2028-12-15,,,,,,2026-07-16
CT,options,CTH29,Mar29,2026-04-02,2029-02-09,,,,,,2026-07-16
CT,options,CTK29,May29,2026-06-02,2029-04-13,,,,,,2026-07-16
CC,futures,CCN26,Jul26,2024-08-01,2026-07-16,2026-06-24,2026-07-17,2026-07-09,2026-07-31,2026-07-17,2026-07-16
CC,futures,CCU26,Sep26,2024-10-01,2026-09-15,2026-08-25,2026-09-16,2026-09-09,2026-09-30,2026-09-16,2026-07-16
CC,futures,CCZ26,Dec26,2025-01-02,2026-12-15,2026-11-23,2026-12-16,2026-12-08,2026-12-31,2026-12-16,2026-07-16
CC,futures,CCH27,Mar27,2025-04-01,2027-03-15,2027-02-22,2027-03-16,2027-03-08,2027-03-31,2027-03-16,2026-07-16
CC,futures,CCK27,May27,2025-06-02,2027-05-13,2027-04-26,2027-05-14,2027-05-10,2027-05-28,2027-05-14,2026-07-16
CC,futures,CCN27,Jul27,2025-08-01,2027-07-15,2027-06-24,2027-07-16,2027-07-09,2027-07-30,2027-07-16,2026-07-16
CC,futures,CCU27,Sep27,2025-10-01,2027-09-15,2027-08-25,2027-09-16,2027-09-09,2027-09-30,2027-09-16,2026-07-16
CC,futures,CCZ27,Dec27,2026-01-02,2027-12-15,2027-11-23,2027-12-16,2027-12-08,2027-12-31,2027-12-16,2026-07-16
CC,futures,CCH28,Mar28,2026-04-01,2028-03-16,2028-02-23,2028-03-17,2028-03-08,2028-03-31,2028-03-17,2026-07-16
CC,futures,CCK28,May28,2026-06-01,2028-05-15,2028-04-24,2028-05-16,2028-05-08,2028-05-31,2028-05-16,2026-07-16
CC,options,CCU26,Sep26,2024-10-02,2026-08-14,,,,,,2026-07-16
CC,options,CCV26,Oct26,2026-06-01,2026-09-11,,,,,,2026-07-16
CC,options,CCX26,Nov26,2026-07-01,2026-10-09,,,,,,2026-07-16
CC,options,CCZ26,Dec26,2025-01-03,2026-11-13,,,,,,2026-07-16
CC,options,CCH27,Mar27,2025-04-02,2027-02-12,,,,,,2026-07-16
CC,options,CCK27,May27,2025-06-03,2027-04-09,,,,,,2026-07-16
CC,options,CCN27,Jul27,2025-08-04,2027-06-11,,,,,,2026-07-16
CC,options,CCU27,Sep27,2025-10-02,2027-08-13,,,,,,2026-07-16
CC,options,CCZ27,Dec27,2026-01-05,2027-11-12,,,,,,2026-07-16
CC,options,CCH28,Mar28,2026-06-09,2028-02-11,,,,,,2026-07-16
CC,options,CCK28,May28,2026-06-09,2028-04-13,,,,,,2026-07-16
KC,futures,KCN26,Jul26,2023-08-01,2026-07-21,2026-06-22,2026-07-22,2026-07-01,2026-07-31,2026-07-22,2026-07-16
KC,futures,KCU26,Sep26,2023-10-02,2026-09-18,2026-08-21,2026-09-21,2026-09-01,2026-09-30,2026-09-21,2026-07-16
KC,futures,KCZ26,Dec26,2024-01-02,2026-12-18,2026-11-19,2026-12-21,2026-12-01,2026-12-31,2026-12-21,2026-07-16
KC,futures,KCH27,Mar27,2024-04-01,2027-03-18,2027-02-18,2027-03-19,2027-03-01,2027-03-31,2027-03-19,2026-07-16
KC,futures,KCK27,May27,2024-06-03,2027-05-18,2027-04-22,2027-05-19,2027-05-03,2027-05-28,2027-05-19,2026-07-16
KC,futures,KCN27,Jul27,2024-08-01,2027-07-20,2027-06-22,2027-07-21,2027-07-01,2027-07-30,2027-07-21,2026-07-16
KC,futures,KCU27,Sep27,2024-10-01,2027-09-20,2027-08-23,2027-09-21,2027-09-01,2027-09-30,2027-09-21,2026-07-16
KC,futures,KCZ27,Dec27,2025-01-02,2027-12-20,2027-11-19,2027-12-21,2027-12-01,2027-12-31,2027-12-21,2026-07-16
KC,futures,KCH28,Mar28,2025-04-01,2028-03-21,2028-02-18,2028-03-22,2028-03-01,2028-03-31,2028-03-22,2026-07-16
KC,options,KCU26,Sep26,2023-10-03,2026-08-14,,,,,,2026-07-16
KC,options,KCV26,Oct26,2026-06-01,2026-09-11,,,,,,2026-07-16
KC,options,KCX26,Nov26,2026-07-01,2026-10-09,,,,,,2026-07-16
KC,options,KCZ26,Dec26,2024-01-03,2026-11-12,,,,,,2026-07-16
KC,options,KCH27,Mar27,2024-04-02,2027-02-10,,,,,,2026-07-16
KC,options,KCK27,May27,2024-06-04,2027-04-09,,,,,,2026-07-16
KC,options,KCN27,Jul27,2024-08-02,2027-06-11,,,,,,2026-07-16
KC,options,KCU27,Sep27,2024-10-02,2027-08-13,,,,,,2026-07-16
KC,options,KCZ27,Dec27,2025-01-03,2027-11-12,,,,,,2026-07-16
KC,options,KCH28,Mar28,2025-04-02,2028-02-11,,,,,,2026-07-16
SB,futures,SBV26,Oct26,2023-11-01,2026-09-30,2026-10-01,2026-10-01,2026-10-01,2026-12-15,2026-10-01,2026-07-16
SB,futures,SBH27,Mar27,2024-04-01,2027-02-26,2027-03-01,2027-03-01,2027-03-01,2027-05-15,2027-03-01,2026-07-16
SB,futures,SBK27,May27,2024-06-03,2027-04-30,2027-05-03,2027-05-03,2027-05-01,2027-07-15,2027-05-03,2026-07-16
SB,futures,SBN27,Jul27,2024-08-01,2027-06-30,2027-07-01,2027-07-01,2027-07-01,2027-09-15,2027-07-01,2026-07-16
SB,futures,SBV27,Oct27,2024-11-01,2027-09-30,2027-10-01,2027-10-01,2027-10-01,2027-12-15,2027-10-01,2026-07-16
SB,futures,SBH28,Mar28,2025-04-01,2028-02-29,2028-03-01,2028-03-01,2028-03-01,2028-05-15,2028-03-01,2026-07-16
SB,futures,SBK28,May28,2025-06-02,2028-04-28,2028-05-01,2028-05-01,2028-05-01,2028-07-15,2028-05-01,2026-07-16
SB,futures,SBN28,Jul28,2025-08-01,2028-06-30,2028-07-03,2028-07-03,2028-07-01,2028-09-15,2028-07-03,2026-07-16
SB,futures,SBV28,Oct28,2025-11-03,2028-09-29,2028-10-02,2028-10-02,2028-10-01,2028-12-15,2028-10-02,2026-07-16
SB,futures,SBH29,Mar29,2026-04-01,2029-02-28,2029-03-01,2029-03-01,2029-03-01,2029-05-15,2029-03-01,2026-07-16
SB,futures,SBK29,May29,2026-06-01,2029-04-30,2029-05-01,2029-05-01,2029-05-01,2029-07-15,2029-05-01,2026-07-16
SB,options,SBU26,Sep26,2026-05-01,2026-08-17,,,,,,2026-07-16
SB,options,SBV26,Oct26,2023-11-01,2026-09-15,,,,,,2026-07-16
