date,commodity,contract,bbg_ticker,settle,open_int,oi_chg,first_notice,last_trade,high,low,open,volume,efp_volume,efs_volume,block_volume
2008-01-02,CC,CCDEC1,CCDEC1 Comdty,2113.0,16121,,,,,,,357,,,
2008-01-02,CC,CCDEC2,CCDEC2 Comdty,2178.0,,,,,,,,,,,
2008-01-02,CC,CCJUL1,CCJUL1 Comdty,2103.0,11696,,,,,,,459,,,
2008-01-02,CC,CCJUL2,CCJUL2 Comdty,2151.0,,,,,,,,,,,
2008-01-02,CC,CCMAR1,CCMAR1 Comdty,2097.0,102962,,,,,,,10055,,,
2008-01-02,CC,CCMAR2,CCMAR2 Comdty,2126.0,5007,,,,,,,1204,,,
2008-01-02,CC,CCMAY1,CCMAY1 Comdty,2098.0,30248,,,,,,,1810,,,
2008-01-02,CC,CCMAY2,CCMAY2 Comdty,2132.0,2359,,,,,,,1,,,
2008-01-02,CC,CCSEP1,CCSEP1 Comdty,2103.0,9014,,,,,,,324,,,
2008-01-02,CC,CCSEP2,CCSEP2 Comdty,2166.0,,,,,,,,,,,
2008-01-02,CT,CTDEC1,CTDEC1 Comdty,76.67,45892,,,,,,,3712,,,
2008-01-02,CT,CTDEC2,CTDEC2 Comdty,81.95,,,,,,,,,,,
2008-01-02,CT,CTJUL1,CTJUL1 Comdty,72.35,27924,,,,,,,2500,,,
2008-01-02,CT,CTJUL2,CTJUL2 Comdty,81.31,,,,,,,,,,,
2008-01-02,CT,CTMAR1,CTMAR1 Comdty,68.88,140202,,,,,,,26373,,,
2008-01-02,CT,CTMAR2,CTMAR2 Comdty,79.16,1075,,,,,,,5,,,
2008-01-02,CT,CTMAY1,CTMAY1 Comdty,70.59,25162,,,,,,,3426,,,
2008-01-02,CT,CTMAY2,CTMAY2 Comdty,80.41,324,,,,,,,,,,
2008-01-02,CT,CTOCT1,CTOCT1 Comdty,74.67,469,,,,,,,,,,
2008-01-02,CT,CTOCT2,CTOCT2 Comdty,81.45,,,,,,,,,,,
2008-01-02,KC,KCDEC1,KCDEC1 Comdty,144.8,6032,,,,,,,179,,,
2008-01-02,KC,KCDEC2,KCDEC2 Comdty,155.75,,,,,,,,,,,
2008-01-02,KC,KCJUL1,KCJUL1 Comdty,139.1,6438,,,,,,,429,,,
2008-01-02,KC,KCJUL2,KCJUL2 Comdty,151.8,,,,,,,,,,,
2008-01-02,KC,KCMAR1,KCMAR1 Comdty,134.0,112665,,,,,,,10342,,,
2008-01-02,KC,KCMAR2,KCMAR2 Comdty,148.0,4058,,,,,,,61,,,
2008-01-02,KC,KCMAY1,KCMAY1 Comdty,136.65,25831,,,,,,,1987,,,
2008-01-02,KC,KCMAY2,KCMAY2 Comdty,150.0,1324,,,,,,,,,,
2008-01-02,KC,KCSEP1,KCSEP1 Comdty,141.4,8654,,,,,,,483,,,
2008-01-02,KC,KCSEP2,KCSEP2 Comdty,153.5,,,,,,,,,,,
2008-01-02,SB,SBJUL1,SBJUL1 Comdty,11.23,94515,,,,,,,10074,,,
2008-01-02,SB,SBJUL2,SBJUL2 Comdty,12.1,,,,,,,,,,,
2008-01-02,SB,SBMAR1,SBMAR1 Comdty,10.73,499936,,,,,,,108171,,,
2008-01-02,SB,SBMAR2,SBMAR2 Comdty,12.09,55754,,,,,,,2885,,,
2008-01-02,SB,SBMAY1,SBMAY1 Comdty,11.03,123483,,,,,,,18019,,,
2008-01-02,SB,SBMAY2,SBMAY2 Comdty,12.23,38208,,,,,,,2821,,,
2008-01-02,SB,SBOCT1,SBOCT1 Comdty,11.54,83931,,,,,,,3414,,,
2008-01-02,SB,SBOCT2,SBOCT2 Comdty,12.23,,,,,,,,,,,
2008-01-03,CC,CCDEC1,CCDEC1 Comdty,2135.0,16150,29,,,,,,429,,,
2008-01-03,CC,CCDEC2,CCDEC2 Comdty,2222.0,,,,,,,,,,,
2008-01-03,CC,CCJUL1,CCJUL1 Comdty,2127.0,12098,402,,,,,,664,,,
2008-01-03,CC,CCJUL2,CCJUL2 Comdty,2169.0,,,,,,,,,,,
2008-01-03,CC,CCMAR1,CCMAR1 Comdty,2120.0,104643,1681,,,,,,11139,,,
2008-01-03,CC,CCMAR2,CCMAR2 Comdty,2143.0,5094,87,,,,,,19,,,
2008-01-03,CC,CCMAY1,CCMAY1 Comdty,2120.0,30475,227,,,,,,895,,,
2008-01-03,CC,CCMAY2,CCMAY2 Comdty,2148.0,2359,0,,,,,,1,,,
2008-01-03,CC,CCSEP1,CCSEP1 Comdty,2124.0,9412,398,,,,,,502,,,
2008-01-03,CC,CCSEP2,CCSEP2 Comdty,2187.0,,,,,,,,,,,
2008-01-03,CT,CTDEC1,CTDEC1 Comdty,76.46,46164,272,,,,,,3987,,,
2008-01-03,CT,CTDEC2,CTDEC2 Comdty,81.95,,,,,,,,,,,
2008-01-03,CT,CTJUL1,CTJUL1 Comdty,72.19,28180,256,,,,,,1504,,,
2008-01-03,CT,CTJUL2,CTJUL2 Comdty,81.2,,,,,,,,,,,
2008-01-03,CT,CTMAR1,CTMAR1 Comdty,68.71,139648,-554,,,,,,15813,,,
2008-01-03,CT,CTMAR2,CTMAR2 Comdty,78.9,1432,357,,,,,,665,,,
2008-01-03,CT,CTMAY1,CTMAY1 Comdty,70.4,25928,766,,,,,,2278,,,
2008-01-03,CT,CTMAY2,CTMAY2 Comdty,80.2,324,0,,,,,,,,,
2008-01-03,CT,CTOCT1,CTOCT1 Comdty,74.4,469,0,,,,,,,,,
