date,india_flag,india_report_date,india_days_since,india_keywords,china_flag,china_report_date,china_days_since,china_keywords,brazil_flag,brazil_report_date,brazil_days_since,brazil_keywords,other_flag,other_report_date,other_days_since,other_keywords
2026-06-07,0,,999,,0,,999,,0,,999,,0,,999,
2026-06-22,0,,1000,,0,,1000,,0,,1000,,0,,1000,
2026-06-23,0,,1001,,0,,1001,,0,,1001,,0,,1001,
2026-06-24,0,,1002,,0,,1002,,0,,1002,,0,,1002,
2026-06-25,0,,1003,,0,,1003,,0,,1003,,0,,1003,
2026-06-26,0,,1004,,0,,1004,,0,,1004,,0,,1004,
2026-06-29,0,,1005,,0,,1005,,0,,1005,,0,,1005,
2026-06-30,0,,1006,,0,,1006,,0,,1006,,0,,1006,
2026-07-01,0,,1007,,0,,1007,,0,,1007,,0,,1007,
2026-07-02,0,,1008,,0,,1008,,0,,1008,,0,,1008,
2026-07-03,0,,1009,,0,,1009,,0,,1009,,0,,1009,
2026-07-06,0,,1010,,0,,1010,,0,,1010,,0,,1010,
2026-07-07,0,,1011,,0,,1011,,0,,1011,,0,,1011,
2026-07-08,0,,1012,,0,,1012,,0,,1012,,0,,1012,
2026-07-09,0,,1013,,0,,1013,,0,,1013,,0,,1013,
2026-07-10,0,,1014,,0,,1014,,0,,1014,,0,,1014,
2026-07-13,0,,1015,,0,,1015,,0,,1015,,0,,1015,
2026-07-14,0,,1016,,0,,1016,,0,,1016,,0,,1016,
2026-07-15,0,,1017,,0,,1017,,0,,1017,,0,,1017,
2026-07-16,0,,1018,,0,,1018,,0,,1018,,0,,1018,
2026-07-17,0,,1019,,0,,1019,,0,,1019,,0,,1019,
2026-07-20,0,,1020,,0,,1020,,0,,1020,,0,,1020,
2026-07-21,0,,1021,,0,,1021,,0,,1021,,0,,1021,
2026-07-22,0,,1022,,0,,1022,,0,,1022,,0,,1022,
2026-07-23,0,,1023,,0,,1023,,0,,1023,,0,,1023,
2026-07-24,0,,1024,,0,,1024,,0,,1024,,0,,1024,
2026-07-27,0,,1025,,0,,1025,,0,,1025,,0,,1025,
2026-07-28,0,,1026,,0,,1026,,0,,1026,,0,,1026,
2026-07-29,0,,1027,,0,,1027,,0,,1027,,0,,1027,
2026-07-30,0,,1028,,0,,1028,,0,,1028,,0,,1028,
2026-07-31,0,,1029,,0,,1029,,0,,1029,,0,,1029,
2026-08-03,0,,1030,,0,,1030,,0,,1030,,0,,1030,
2026-08-04,0,,1031,,0,,1031,,0,,1031,,0,,1031,
2026-08-05,0,,1032,,0,,1032,,0,,1032,,0,,1032,
2026-08-06,0,,1033,,0,,1033,,0,,1033,,0,,1033,
2026-08-07,0,,1034,,0,,1034,,0,,1034,,0,,1034,
2026-08-10,0,,1035,,0,,1035,,0,,1035,,0,,1035,
2026-08-11,0,,1036,,0,,1036,,0,,1036,,0,,1036,
2026-08-12,0,,1037,,0,,1037,,0,,1037,,0,,1037,
2026-08-13,0,,1038,,0,,1038,,0,,1038,,0,,1038,
2026-08-14,0,,1039,,0,,1039,,0,,1039,,0,,1039,
2026-08-17,0,,1040,,0,,1040,,0,,1040,,0,,1040,
2026-08-18,0,,1041,,0,,1041,,0,,1041,,0,,1041,
2026-08-19,0,,1042,,0,,1042,,0,,1042,,0,,1042,
2026-08-20,0,,1043,,0,,1043,,0,,1043,,0,,1043,
2026-08-21,0,,1044,,0,,1044,,0,,1044,,0,,1044,
2026-08-24,0,,1045,,0,,1045,,0,,1045,,0,,1045,
2026-08-25,0,,1046,,0,,1046,,0,,1046,,0,,1046,
2026-08-26,0,,1047,,0,,1047,,0,,1047,,0,,1047,
2026-08-27,0,,1048,,0,,1048,,0,,1048,,0,,1048,
2026-08-28,0,,1049,,0,,1049,,0,,1049,,0,,1049,
2026-08-31,0,,1050,,0,,1050,,0,,1050,,0,,1050,
2026-09-01,0,,1051,,0,,1051,,0,,1051,,0,,1051,
2026-09-02,0,,1052,,0,,1052,,0,,1052,,0,,1052,
