date,kc1_close,kc2_close,kc3_close,atm_iv_30d,kc1_kc2_spread,kc2_kc3_spread,hv30,hv60,iv_hv30_ratio,atm_iv_zscore_1yr,iv_hv30_ratio_zscore,kc1_kc2_zscore
2025-01-03,261.95,252.4,239.6,32.93,9.55,12.8,36.3,31.81,0.9072,,,
2025-01-06,263.85,254.25,241.35,33.56,9.6,12.9,34.87,31.81,0.9624,,,
2025-01-07,265.55,255.6,242.3,33.87,9.95,13.3,34.9,31.76,0.9705,,,
2025-01-08,261.6,251.55,238.55,33.32,10.05,13.0,35.1,31.77,0.9493,,,
2025-01-09,262.05,251.4,238.05,32.7,10.65,13.35,35.1,31.27,0.9316,,,
2025-01-10,263.45,252.45,238.9,32.53,11.0,13.55,34.66,30.86,0.9385,,,
2025-01-13,267.15,256.25,242.5,32.19,10.9,13.75,32.58,30.95,0.988,,,
2025-01-14,262.75,251.9,238.6,31.82,10.85,13.3,32.64,31.09,0.9749,,,
2025-01-15,267.85,256.85,243.2,34.07,11.0,13.65,27.15,31.26,1.2549,,,
2025-01-16,264.6,253.55,239.8,33.83,11.05,13.75,27.42,31.15,1.2338,,,
2025-01-17,265.65,254.55,240.6,34.27,11.1,13.95,26.64,31.13,1.2864,,,
2025-01-21,265.55,254.25,240.0,33.96,11.3,14.25,25.56,31.12,1.3286,,,
2025-01-22,274.9,261.3,244.85,35.4,13.6,16.45,26.23,31.34,1.3496,,,
2025-01-23,277.25,263.45,247.75,35.4,13.8,15.7,26.33,31.22,1.3445,,,
2025-01-24,278.15,263.9,248.0,34.72,14.25,15.9,26.34,31.12,1.3181,,,
2025-01-27,279.05,264.6,249.0,35.73,14.45,15.6,23.83,30.93,1.4994,,,
2025-01-28,283.7,268.3,251.85,35.97,15.4,16.45,24.21,31.01,1.4857,,,
2025-01-29,289.0,272.5,255.45,36.19,16.5,17.05,24.01,31.08,1.5073,,,
2025-01-30,294.55,277.4,260.15,36.19,17.15,17.25,24.22,30.95,1.4942,,,
2025-01-31,296.4,279.25,262.0,36.55,17.15,17.25,23.99,30.92,1.5236,,,
2025-02-03,297.9,280.85,263.7,37.18,17.05,17.15,23.98,30.83,1.5505,,,
2025-02-04,300.1,282.85,265.8,37.2,17.25,17.05,21.45,30.72,1.7343,,,
2025-02-05,304.65,287.05,269.7,37.2,17.6,17.35,21.63,30.17,1.7198,,,
2025-02-06,316.0,298.35,280.8,38.26,17.65,17.55,23.42,29.91,1.6336,,,
2025-02-07,315.35,298.45,282.05,37.43,16.9,16.4,23.45,29.91,1.5962,,,
2025-02-10,336.85,320.35,304.45,38.58,16.5,15.9,29.02,32.24,1.3294,,,
2025-02-11,323.15,306.85,291.0,37.83,16.3,15.85,32.38,33.35,1.1683,,,
2025-02-12,332.2,315.45,300.0,38.83,16.75,15.45,32.93,33.48,1.1792,,,
2025-02-13,323.15,306.6,291.2,37.75,16.55,15.4,34.29,34.06,1.1009,,,
2025-02-14,320.0,304.2,288.75,36.87,15.8,15.45,34.03,34.11,1.0835,,,
2025-02-18,318.45,302.75,288.25,35.52,15.7,14.5,31.96,34.1,1.1114,,,
2025-02-19,324.35,308.65,293.95,35.5,15.7,14.7,32.15,33.58,1.1042,,,
2025-02-20,314.15,298.85,284.6,35.89,15.3,14.25,34.06,34.38,1.0537,,,
