date,ct1_close,ct2_close,ct3_close,atm_iv_30d,ct1_ct2_spread,ct2_ct3_spread,si_carry_approx,pct_si_approx,hv30,hv60,iv_hv30_ratio,atm_iv_zscore_1yr,iv_hv30_ratio_zscore,pct_si_zscore_1yr,ct1_ct2_zscore
2020-05-18,57.8,57.93,58.73,31.61,-0.13,-0.8,1.4961,8.69,,,,,,,
2020-05-19,59.2,59.17,59.84,30.91,0.03,-0.67,1.5081,-1.99,,,,,,,
2020-05-20,58.21,58.79,59.58,29.32,-0.58,-0.79,1.4996,38.68,,,,,,,
2020-05-21,58.06,58.7,59.47,30.15,-0.64,-0.77,1.4983,42.72,,,,,,,
2020-05-22,57.61,57.81,58.73,29.81,-0.2,-0.92,1.4945,13.38,,,,,,,
2020-05-26,58.23,58.0,58.87,31.46,0.23,-0.87,1.4998,-15.34,,,,,,,
2020-05-27,58.34,58.03,58.98,30.7,0.31,-0.95,1.5008,-20.66,,,,,,,
2020-05-28,57.57,57.54,58.52,30.49,0.03,-0.98,1.4941,-2.01,,,,,,,
2020-05-29,57.59,57.48,58.48,31.15,0.11,-1.0,1.4943,-7.36,,,,,,,
2020-06-01,60.06,58.71,59.24,31.53,1.35,-0.53,1.5155,-89.08,,,,,,,
2020-06-02,60.37,59.5,59.95,31.39,0.87,-0.45,1.5182,-57.3,,,,,,,
2020-06-03,60.48,59.73,60.38,29.68,0.75,-0.65,1.5191,-49.37,,,,,,,
2020-06-04,60.0,59.58,60.22,28.27,0.42,-0.64,1.515,-27.72,,,,,,,
2020-06-05,61.79,60.98,61.39,27.53,0.81,-0.41,1.5304,-52.93,,,,,,,
2020-06-08,60.81,60.37,60.94,30.8,0.44,-0.57,1.522,-28.91,,,,,,,
2020-06-09,60.52,60.02,60.7,33.25,0.5,-0.68,1.5195,-32.91,,,,,,,
2020-06-10,60.51,60.32,60.91,33.81,0.19,-0.59,1.5194,-12.5,,,,,,,
2020-06-11,60.02,59.49,60.02,37.65,0.53,-0.53,1.5152,-34.98,,,,,,,
2020-06-12,59.84,59.03,59.58,24.41,0.81,-0.55,1.5136,-53.51,,,,,,,
2020-06-15,59.01,58.35,59.01,25.01,0.66,-0.66,1.5065,-43.81,,,,,,,
2020-06-16,60.07,59.08,59.54,25.04,0.99,-0.46,1.5156,-65.32,,,,,,,
2020-06-17,61.34,60.0,60.53,24.91,1.34,-0.53,1.5265,-87.78,,,,,,,
2020-06-18,61.17,59.52,60.22,24.29,1.65,-0.7,1.525,-108.2,,,,,,,
2020-06-19,61.56,59.81,60.56,23.4,1.75,-0.75,1.5284,-114.5,,,,,,,
2020-06-22,62.52,59.85,60.58,22.48,2.67,-0.73,1.5366,-173.76,,,,,,,
2020-06-23,63.04,59.44,60.13,22.58,3.6,-0.69,1.5411,-233.6,,,,,,,
2020-06-24,61.66,59.21,59.8,21.74,2.45,-0.59,1.5292,-160.21,,,,,,,
2020-06-25,61.81,59.7,60.32,21.31,2.11,-0.62,1.5305,-137.86,,,,,,,
2020-06-26,60.55,59.5,60.16,20.91,1.05,-0.66,1.5197,-69.09,,,,,,,
2020-06-29,59.62,59.63,60.29,20.97,-0.01,-0.66,1.5117,0.66,,,,,,,
2020-06-30,60.98,60.88,61.54,20.63,0.1,-0.66,1.5234,-6.56,24.9653,,0.8263,,,,
2020-07-01,62.76,63.45,63.81,20.69,-0.69,-0.36,1.5387,44.84,25.3743,,0.8154,,,,
2020-07-02,62.95,63.67,64.24,19.95,-0.72,-0.57,1.5403,46.74,24.7399,,0.8064,,,,
2020-07-06,63.14,63.88,64.48,20.62,-0.74,-0.6,1.542,47.99,24.691,,0.8351,,,,
2020-07-07,63.02,63.76,64.43,20.83,-0.74,-0.67,1.5409,48.02,24.5305,,0.8491,,,,
2020-07-08,64.16,64.69,65.21,21.35,-0.53,-0.52,1.5507,34.18,24.8155,,0.8603,,,,
2020-07-09,63.89,64.49,65.01,21.32,-0.6,-0.52,1.5484,38.75,24.9072,,0.856,,,,
2020-07-10,64.31,64.83,65.34,21.07,-0.52,-0.51,1.552,33.51,24.4371,,0.8622,,,,
2020-07-13,63.35,64.04,64.68,20.95,-0.69,-0.64,1.5438,44.69,25.0201,,0.8373,,,,
2020-07-14,62.63,63.31,64.01,19.77,-0.68,-0.7,1.5376,44.22,22.4798,,0.8795,,,,
2020-07-15,62.13,62.85,63.52,19.82,-0.72,-0.67,1.5333,46.96,22.6123,,0.8765,,,,
2020-07-16,62.54,63.19,63.77,19.85,-0.65,-0.58,1.5368,42.3,22.67,,0.8756,,,,
2020-07-17,61.94,62.63,63.27,19.57,-0.69,-0.64,1.5317,45.05,22.7333,,0.8609,,,,
2020-07-20,62.88,63.61,64.23,20.63,-0.73,-0.62,1.5397,47.41,21.5284,,0.9583,,,,
2020-07-21,62.95,63.61,64.21,20.2,-0.66,-0.6,1.5403,42.85,20.9473,,0.9643,,,,
2020-07-22,62.54,63.26,63.94,20.1,-0.72,-0.68,1.5368,46.85,20.9966,,0.9573,,,,
2020-07-23,61.92,62.63,63.24,20.0,-0.71,-0.61,1.5315,46.36,21.2383,,0.9417,,,,
2020-07-24,60.1,60.82,61.54,23.06,-0.72,-0.72,1.5159,47.5,22.8953,,1.0072,,,,
2020-07-27,61.16,61.85,62.61,22.57,-0.69,-0.76,1.525,45.25,23.4222,,0.9636,,,,
2020-07-28,61.11,61.83,62.59,22.05,-0.72,-0.76,1.5245,47.23,23.0117,,0.9582,,,,
2020-07-29,61.61,62.32,63.09,21.0,-0.71,-0.77,1.5288,46.44,22.571,,0.9304,,,,
2020-07-30,63.18,63.81,64.46,21.46,-0.63,-0.65,1.5423,40.85,22.9296,,0.9359,,,,
2020-07-31,62.66,63.25,63.72,21.4,-0.59,-0.47,1.5378,38.37,23.0626,,0.9279,,,,
2020-08-03,63.87,64.54,64.95,22.24,-0.67,-0.41,1.5482,43.28,23.6201,,0.9416,,,,
2020-08-04,64.01,64.71,65.12,21.57,-0.7,-0.41,1.5494,45.18,23.2345,,0.9284,,,,
2020-08-05,64.46,65.13,65.51,21.53,-0.67,-0.38,1.5533,43.13,23.2016,,0.928,,,,
2020-08-06,64.85,65.49,65.89,22.21,-0.64,-0.4,1.5566,41.12,22.203,,1.0003,,,,
2020-08-07,62.36,63.19,63.87,23.03,-0.83,-0.68,1.5353,54.06,25.1557,,0.9155,,,,
2020-08-10,62.8,63.6,64.21,22.63,-0.8,-0.61,1.539,51.98,24.4258,,0.9265,,,,
2020-08-11,63.49,64.33,64.96,22.86,-0.84,-0.63,1.545,54.37,24.0536,,0.9504,,,,
2020-08-12,62.2,63.14,63.89,24.12,-0.94,-0.75,1.5339,61.28,24.1102,24.3493,1.0004,,,,
2020-08-13,62.99,63.92,64.63,23.64,-0.93,-0.71,1.5407,60.36,22.8978,24.0066,1.0324,,,,
2020-08-14,62.85,63.76,64.47,22.74,-0.91,-0.71,1.5395,59.11,22.8905,23.7262,0.9934,,,,
2020-08-17,63.28,64.19,64.88,23.72,-0.91,-0.69,1.5432,58.97,22.9613,23.7391,1.033,,,,
2020-08-18,62.93,63.83,64.53,23.8,-0.9,-0.7,1.5401,58.44,23.0127,23.7065,1.0342,,,,
2020-08-19,63.77,64.69,65.33,21.27,-0.92,-0.64,1.5474,59.45,22.734,23.7547,0.9356,,,,
2020-08-20,64.52,65.42,66.08,25.12,-0.9,-0.66,1.5538,57.92,22.9564,23.8461,1.0942,,,,
2020-08-21,64.28,65.2,65.9,20.14,-0.92,-0.7,1.5517,59.29,22.9075,23.6697,0.8792,,,,
2020-08-24,65.82,66.63,67.17,21.25,-0.81,-0.54,1.565,51.76,23.4428,24.0861,0.9065,,,,
2020-08-25,65.58,66.42,66.99,20.69,-0.84,-0.57,1.5629,53.75,23.1834,22.6403,0.8924,,,,
2020-08-26,65.58,66.45,67.02,20.23,-0.87,-0.57,1.5629,55.67,23.0123,22.6291,0.8791,,,,
2020-08-27,65.37,66.27,66.96,19.77,-0.9,-0.69,1.5611,57.65,23.0106,22.6484,0.8592,,,,
2020-08-28,65.08,65.93,66.56,19.11,-0.85,-0.63,1.5586,54.54,22.8412,22.5983,0.8366,,,,
2020-08-31,65.16,66.05,66.75,19.73,-0.89,-0.7,1.5593,57.08,22.4843,21.8296,0.8775,,,,
2020-09-01,65.4,66.31,67.07,20.11,-0.91,-0.76,1.5614,58.28,22.4959,21.5506,0.8939,,,,
2020-09-02,64.96,65.88,66.76,19.42,-0.92,-0.88,1.5576,59.07,22.5025,21.5778,0.863,,,,
2020-09-03,64.28,65.29,66.15,19.77,-1.01,-0.86,1.5517,65.09,22.5273,21.7094,0.8776,,,,
2020-09-04,64.99,65.97,66.77,19.44,-0.98,-0.8,1.5578,62.91,20.6629,21.7192,0.9408,,,,
2020-09-08,64.02,65.05,65.82,21.03,-1.03,-0.77,1.5495,66.47,20.7778,21.9603,1.0121,,,,
2020-09-09,64.2,65.18,65.95,20.92,-0.98,-0.77,1.551,63.19,20.7689,21.7358,1.0073,,,,
2020-09-10,64.81,65.82,66.63,20.77,-1.01,-0.81,1.5563,64.9,20.8079,21.5332,0.9982,,,,
2020-09-11,64.81,65.78,66.56,20.11,-0.97,-0.78,1.5563,62.33,19.5829,21.1408,1.0269,,,,
2020-09-14,66.62,67.46,68.17,20.59,-0.84,-0.71,1.5718,53.44,20.8444,21.817,0.9878,,,,
2020-09-15,66.44,67.24,67.84,20.65,-0.8,-0.6,1.5703,50.95,20.2412,21.8085,1.0202,,,,
2020-09-16,66.37,67.18,67.8,20.11,-0.81,-0.62,1.5697,51.6,20.2508,21.611,0.993,,,,
2020-09-17,65.85,66.79,67.55,20.16,-0.94,-0.76,1.5652,60.06,20.3393,21.6318,0.9912,,,,
2020-09-18,65.66,66.58,67.35,20.01,-0.92,-0.77,1.5636,58.84,20.3008,21.1165,0.9857,,,,
2020-09-21,65.24,66.24,67.08,21.03,-1.0,-0.84,1.56,64.1,16.6444,21.1695,1.2635,,,,
2020-09-22,65.54,66.47,67.28,20.36,-0.93,-0.81,1.5626,59.52,16.5889,20.7013,1.2273,,,,
2020-09-23,65.25,66.14,66.93,20.77,-0.89,-0.79,1.5601,57.05,16.4207,20.4406,1.2649,,,,
2020-09-24,65.46,66.25,66.99,20.42,-0.79,-0.74,1.5619,50.58,15.1171,19.9687,1.3508,,,,
2020-09-25,65.95,66.66,67.35,19.8,-0.71,-0.69,1.5661,45.34,14.8651,19.1728,1.332,,,,
2020-09-28,65.69,66.38,67.09,20.29,-0.69,-0.71,1.5638,44.12,14.9113,19.1919,1.3607,,,,
2020-09-29,65.29,66.03,66.8,20.14,-0.74,-0.77,1.5604,47.42,14.9791,19.2361,1.3445,,,,
2020-09-30,65.79,66.54,67.27,19.45,-0.75,-0.73,1.5647,47.93,14.9622,19.2832,1.2999,,,,
2020-10-01,65.91,66.7,67.37,19.55,-0.79,-0.67,1.5657,50.46,14.5411,18.9488,1.3445,,,,
2020-10-02,65.82,66.63,67.27,19.16,-0.81,-0.64,1.565,51.76,14.2032,18.9278,1.349,,,,
2020-10-05,66.03,66.92,67.58,20.03,-0.89,-0.66,1.5668,56.8,14.1587,18.8943,1.4147,,,,
2020-10-06,66.86,67.72,68.32,20.01,-0.86,-0.6,1.5739,54.64,12.9112,18.773,1.5498,,,,
2020-10-07,67.59,68.35,68.95,20.03,-0.76,-0.6,1.5801,48.1,13.1855,18.7033,1.5191,,,,
2020-10-08,67.49,68.26,68.9,20.53,-0.77,-0.64,1.5793,48.76,13.2023,18.6125,1.555,,,,
2020-10-09,67.64,68.42,69.12,19.79,-0.78,-0.7,1.5806,49.35,13.1471,18.5819,1.5053,,,,
2020-10-12,68.37,69.18,69.93,20.84,-0.81,-0.75,1.5868,51.05,13.3219,18.5384,1.5643,,,,
2020-10-13,68.83,69.64,70.4,21.18,-0.81,-0.76,1.5908,50.92,13.4014,18.3583,1.5804,,,,
2020-10-14,68.93,69.72,70.41,20.83,-0.79,-0.69,1.5916,49.64,13.3902,18.3581,1.5556,,,,
2020-10-15,69.22,69.93,70.65,19.54,-0.71,-0.72,1.5941,44.54,13.1601,18.2888,1.4848,,,,
2020-10-16,69.92,70.56,71.23,20.36,-0.64,-0.67,1.6001,40.0,12.7891,18.204,1.592,,,,
2020-10-19,71.16,71.83,72.41,21.43,-0.67,-0.58,1.6108,41.59,13.2887,17.227,1.6126,,,,
2020-10-20,71.02,71.7,72.29,21.74,-0.68,-0.59,1.6096,42.25,12.244,16.979,1.7756,,,,
2020-10-21,71.04,71.73,72.34,21.98,-0.69,-0.61,1.6098,42.86,12.2775,16.9714,1.7903,,,,
2020-10-22,71.94,72.51,73.09,22.73,-0.57,-0.58,1.6175,35.24,12.4448,17.0586,1.8265,,,,
2020-10-23,71.29,71.87,72.45,22.24,-0.58,-0.58,1.6119,35.98,12.9337,16.5587,1.7195,,,,
2020-10-26,72.11,72.72,73.22,23.03,-0.61,-0.5,1.6189,37.68,10.9935,16.5286,2.0949,,,,
2020-10-27,72.03,72.73,73.28,22.87,-0.7,-0.55,1.6183,43.26,10.9357,16.1672,2.0913,,,,
2020-10-28,70.17,71.03,71.7,23.69,-0.86,-0.67,1.6023,53.67,13.7438,17.1665,1.7237,,,,
2020-10-29,69.82,70.8,71.49,21.78,-0.98,-0.69,1.5993,61.28,13.5919,17.1793,1.6024,,,,
2020-10-30,68.92,69.78,70.58,21.47,-0.86,-0.8,1.5916,54.03,14.2045,17.3973,1.5115,,,,
2020-11-02,68.73,69.72,70.52,21.7,-0.99,-0.8,1.5899,62.27,14.0636,15.2781,1.543,,,,
2020-11-03,70.24,71.2,72.0,23.18,-0.96,-0.8,1.6029,59.89,15.1977,15.789,1.5252,,,,
2020-11-04,70.23,71.19,71.95,22.51,-0.96,-0.76,1.6028,59.9,15.0827,15.6803,1.4924,,,,
2020-11-05,70.07,71.21,72.02,23.4,-1.14,-0.81,1.6014,71.19,15.1425,15.0079,1.5453,,,,
2020-11-06,68.62,70.15,71.02,22.68,-1.53,-0.87,1.589,96.29,16.4716,15.5563,1.3769,,,,
2020-11-09,70.0,71.68,72.55,24.1,-1.68,-0.87,1.6008,104.95,17.2416,15.9897,1.3978,,,,
2020-11-10,69.85,71.65,72.64,23.58,-1.8,-0.99,1.5995,112.54,17.1151,15.975,1.3777,,,,
2020-11-11,69.28,71.38,72.34,22.68,-2.1,-0.96,1.5947,131.69,17.2964,16.035,1.3113,,,,
2020-11-12,68.48,70.62,71.56,22.34,-2.14,-0.94,1.5878,134.78,17.7229,16.0729,1.2605,,,,
2020-11-13,68.46,70.4,71.27,20.05,-1.94,-0.87,1.5876,122.2,17.7117,15.9253,1.132,,,,
2020-11-16,69.57,71.58,72.46,21.15,-2.01,-0.88,1.5971,125.85,18.2176,16.1901,1.161,,,,
2020-11-17,69.11,71.3,72.18,20.94,-2.19,-0.88,1.5932,137.46,18.0796,15.5826,1.1582,,,,
2020-11-18,69.68,71.83,72.7,20.53,-2.15,-0.87,1.5981,134.53,17.9715,15.6271,1.1424,,,,
2020-11-19,69.32,71.67,72.57,20.22,-2.35,-0.9,1.595,147.34,18.048,15.6774,1.1203,,,,
2020-11-20,70.88,72.96,73.79,19.86,-2.08,-0.83,1.6084,129.32,19.0806,16.2488,1.0408,,,,
2020-11-23,72.15,73.8,74.65,20.28,-1.65,-0.85,1.6193,101.9,19.4786,16.5451,1.0411,,,,
2020-11-24,71.53,72.98,73.83,20.33,-1.45,-0.85,1.614,89.84,19.6489,16.6804,1.0347,,,,
2020-11-25,70.8,72.36,73.21,20.66,-1.56,-0.85,1.6077,97.03,19.9312,16.8483,1.0366,,,,
2020-11-27,71.68,73.24,74.06,21.47,-1.56,-0.82,1.6153,96.58,20.1872,16.912,1.0635,,,,
2020-11-30,70.59,72.15,73.05,22.55,-1.56,-0.9,1.6059,97.14,20.5524,17.0872,1.0972,,,,
2020-12-01,72.19,73.07,73.77,21.86,-0.88,-0.7,1.6196,54.33,20.9491,17.5117,1.0435,,,,
2020-12-02,71.6,72.5,73.24,21.81,-0.9,-0.74,1.6146,55.74,21.0899,17.2864,1.0341,,,,
2020-12-03,71.11,72.0,72.76,21.43,-0.89,-0.76,1.6104,55.27,21.1912,17.3774,1.0113,,,,
2020-12-04,71.57,72.45,73.21,20.89,-0.88,-0.76,1.6143,54.51,20.9483,17.3309,0.9972,,,,
2020-12-07,72.38,73.26,74.02,21.75,-0.88,-0.76,1.6213,54.28,21.0259,17.4382,1.0344,,,,
2020-12-08,71.98,72.85,73.62,20.78,-0.87,-0.77,1.6178,53.78,20.8338,16.6559,0.9974,,,,
2020-12-09,73.05,73.89,74.6,22.11,-0.84,-0.71,1.627,51.63,21.2673,16.8602,1.0396,,,,
2020-12-10,74.26,75.04,75.73,20.95,-0.78,-0.69,1.6374,47.64,20.1879,17.1222,1.0378,,,,
2020-12-11,74.08,74.89,75.54,19.97,-0.81,-0.65,1.6359,49.51,20.1253,17.0261,0.9923,,,,
2020-12-14,74.67,75.51,76.2,21.94,-0.84,-0.69,1.6409,51.19,19.6832,17.0388,1.1147,,,,
2020-12-15,75.59,76.34,77.0,21.79,-0.75,-0.66,1.6488,45.49,19.8035,17.0675,1.1003,,,,
2020-12-16,75.65,76.43,77.11,22.35,-0.78,-0.68,1.6493,47.29,19.0122,17.065,1.1756,,,,
2020-12-17,77.19,77.89,78.48,24.4,-0.7,-0.59,1.6625,42.11,19.6682,17.3859,1.2406,,,,
2020-12-18,77.16,77.83,78.38,22.24,-0.67,-0.55,1.6623,40.31,19.6304,17.3979,1.1329,,,,
2020-12-21,74.76,75.48,76.17,21.69,-0.72,-0.69,1.6417,43.86,20.9703,18.7354,1.0343,,,,
2020-12-22,74.82,75.43,75.99,21.57,-0.61,-0.56,1.6422,37.15,20.3418,18.6952,1.0604,,,,
2020-12-23,76.14,76.74,77.27,22.24,-0.6,-0.53,1.6535,36.29,20.7672,18.8736,1.0709,,,,
2020-12-24,76.2,76.86,77.41,21.73,-0.66,-0.55,1.654,39.9,20.5128,18.8472,1.0593,,,,
2020-12-28,76.35,77.0,77.53,22.85,-0.65,-0.53,1.6553,39.27,20.0341,18.847,1.1406,,,,
2020-12-29,77.01,77.62,78.08,22.76,-0.61,-0.46,1.661,36.72,20.0489,18.8716,1.1352,,,,
2020-12-30,77.97,78.57,79.13,23.27,-0.6,-0.56,1.6692,35.95,19.882,18.9774,1.1704,,,,
2020-12-31,78.12,78.7,79.17,23.44,-0.58,-0.47,1.6705,34.72,19.6451,18.8694,1.1932,,,,
2021-01-04,78.97,79.69,80.22,25.02,-0.72,-0.53,1.6778,42.91,19.7072,18.8687,1.2696,,,,
2021-01-05,80.35,81.01,81.53,24.79,-0.66,-0.52,1.6897,39.06,19.8579,19.0876,1.2484,,,,
2021-01-06,80.06,80.85,81.51,24.06,-0.79,-0.66,1.6872,46.82,19.3035,19.134,1.2464,,,,
2021-01-07,79.76,80.59,81.25,23.96,-0.83,-0.66,1.6846,49.27,18.9811,19.108,1.2623,,,,
2021-01-08,79.77,80.55,81.25,24.19,-0.78,-0.7,1.6847,46.3,18.6683,19.0948,1.2958,,,,
2021-01-11,80.43,81.17,81.86,24.84,-0.74,-0.69,1.6904,43.78,18.2369,19.1301,1.3621,,,,
